id,label
157943673-672703122_135_2024-7-12-18-39-38,0
253707971-484317354_137_2024-7-12-19-3-8,0
442498041-715402741_137_2024-7-12-17-24-10,0
566569304-717193377_135_2024-7-12-15-53-44,0
201482386-34107286_136_2024-7-13-20-23-40,0
221798900-70738884_137_2024-7-14-12-15-38,0
240496760-620770582_821_2024-7-14-17-0-21,0
145418146-464764423_134_2024-7-13-10-54-19,1
140072427-666100983_137_2024-7-14-21-59-30,0
60885166-715253811_821_2024-7-14-14-29-20,0
307166864-130953332_608_2024-7-12-23-16-46,0
72796398-716691773_130_2024-7-13-22-29-30,0
148863856-123002077_134_2024-7-13-19-3-43,1
473375852-715285261_137_2024-7-14-14-24-50,0
241459873-406003008_608_2024-7-14-16-4-13,0
723451031-699987720_137_2024-7-12-18-17-26,0
90455970-649705561_137_2024-7-14-15-28-12,0
41774022-700511465_134_2024-7-14-15-42-37,0
469052799-717052473_134_2024-7-13-23-22-45,0
199410282-695902009_301_2024-7-14-22-17-7,1
111793445-53003396_134_2024-7-12-17-51-24,0
761555892-128001062_107_2024-7-13-20-6-29,0
533549384-700742330_137_2024-7-14-10-59-24,1
212518247-683701227_134_2024-7-13-9-39-32,0
4500590-692901616_137_2024-7-13-18-7-29,1
545118898-717153029_135_2024-7-15-5-46-40,0
162191038-406737805_134_2024-7-14-16-43-20,0
494032480-120758718_134_2024-7-13-13-0-52,1
241478525-400944364_134_2024-7-14-6-52-46,0
515448325-716878748_137_2024-7-14-17-35-24,1
178489510-660703981_134_2024-7-14-10-50-57,0
4500590-692901616_103_2024-7-15-8-53-55,1
201350235-10602551_137_2024-7-13-15-28-22,0
162501788-691303705_137_2024-7-12-21-8-29,0
81420111-436244891_134_2024-7-12-19-52-53,1
76823342-711226631_821_2024-7-14-12-54-37,0
221441694-480746785_135_2024-7-14-3-37-12,0
470728758-501818352_134_2024-7-14-12-16-35,1
64537565-497005094_137_2024-7-13-6-10-20,1
534527548-493745389_134_2024-7-14-17-17-3,0
123534982-30001909_192_2024-7-12-20-38-26,1
691527377-717124414_137_2024-7-14-0-50-47,1
247111686-79002820_135_2024-7-15-5-8-51,0
371049697-123013625_134_2024-7-14-23-36-24,0
103458229-470001910_134_2024-7-13-9-18-37,0
